,address,bookmarks,categories,district,link,location,price_range,title
33,黃大仙正德街103號黃大仙中心南館1樓101號舖,6.6K,"['川菜 (四川)', '中菜館']",Wong Tai Sin,https://www.openrice.com/zh/hongkong/r-%E5%8D%81%E4%BA%8C%E5%91%B3-%E9%BB%83%E5%A4%A7%E4%BB%99-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-r694371,Kowloon,$101-200,十二味 (黃大仙中心) Twelve Flavors (Temple Mall South）
34,黃大仙正德街103號黃大仙中心南館地下G6舖,4.6K,['日本菜'],Wong Tai Sin,https://www.openrice.com/zh/hongkong/r-%E6%9D%B1%E4%BA%AC%E6%B7%BA%E8%8D%89%E7%82%B8%E9%9B%9E%E5%B0%88%E9%96%80%E5%BA%97-%E9%BB%83%E5%A4%A7%E4%BB%99-%E6%97%A5%E6%9C%AC%E8%8F%9C-r537415,Kowloon,$51-100,東京淺草炸雞專門店 (黃大仙中心) KARAYAMA (Wong Tai Sin Shopping Centre)
35,黃大仙龍翔道136號黃大仙中心北館地下低層LG05-08號舖,4.6K,"['滬菜 (上海)', '中菜館']",Wong Tai Sin,https://www.openrice.com/zh/hongkong/r-%E4%B8%8A%E6%B5%B7%E5%BB%B31930-%E9%BB%83%E5%A4%A7%E4%BB%99-%E6%BB%AC%E8%8F%9C-%E4%B8%8A%E6%B5%B7-r472231,Kowloon,$101-200,上海廳1930 Shanghai Teng 1930
36,黃大仙龍翔道110號豪苑G3樓翔盈里5號舖,4.5K,"['日本菜', '壽司/刺身']",Wong Tai Sin,https://www.openrice.com/zh/hongkong/r-%E5%A3%BD%E5%8F%B8%E9%83%8E-%E9%BB%83%E5%A4%A7%E4%BB%99-%E6%97%A5%E6%9C%AC%E8%8F%9C-%E5%A3%BD%E5%8F%B8-%E5%88%BA%E8%BA%AB-r667105,Kowloon,$101-200,壽司郎 Sushiro
37,黃大仙銀鳳街16號地舖,3.7K,"['港式', '甜品/糖水']",Wong Tai Sin,https://www.openrice.com/zh/hongkong/r-%E5%A4%A7%E8%A1%97%E5%B0%8F%E9%A4%A8-%E9%BB%83%E5%A4%A7%E4%BB%99-%E6%B8%AF%E5%BC%8F-%E7%94%9C%E5%93%81-%E7%B3%96%E6%B0%B4-r547524,Kowloon,$51-100,大街小館 Big Sweet House
38,黃大仙龍翔道136號黃大仙中心北館1樓N141號舖,3.6K,['泰國菜'],Wong Tai Sin,https://www.openrice.com/zh/hongkong/r-%E4%BA%9E%E8%90%8A%E6%B3%B0-%E9%BB%83%E5%A4%A7%E4%BB%99-%E6%B3%B0%E5%9C%8B%E8%8F%9C-r480367,Kowloon,$101-200,亞萊泰 (黃大仙中心) Aroi Thai (Wong Tai Sin Shopping Centre)
39,黃大仙龍翔道136號黃大仙中心北館地下G12號舖,2.8K,"['粵菜 (廣東)', '點心']",Wong Tai Sin,https://www.openrice.com/zh/hongkong/r-%E7%BF%A0%E5%9C%92-%E9%BB%83%E5%A4%A7%E4%BB%99-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-%E9%BB%9E%E5%BF%83-r475103,Kowloon,$201-400,翠園 (黃大仙中心) Jade Garden (Wong Tai Sin Shopping Centre)
40,黃大仙龍翔道136號黃大仙中心北館2樓N201-N202及N226A號舖,2.8K,"['港式', '素食']",Wong Tai Sin,https://www.openrice.com/zh/hongkong/r-%E6%97%A5%E5%B8%B8%E7%B4%A0%E9%A3%9F-%E9%BB%83%E5%A4%A7%E4%BB%99-%E6%B8%AF%E5%BC%8F-%E7%B4%A0%E9%A3%9F-r643296,Kowloon,$51-100,日常素食 Daily Green
41,黃大仙正德街103號黃大仙中心南館L1樓130號舖,2.6K,"['港式', '西式']",Wong Tai Sin,https://www.openrice.com/zh/hongkong/r-%E6%84%8F%E5%85%AB%E9%A4%90%E5%BB%B3-%E9%BB%83%E5%A4%A7%E4%BB%99-%E8%A5%BF%E5%BC%8F-r52213,Kowloon,$51-100,意八餐廳 ItaMoMo Cafe
42,黃大仙正德街103號黃大仙中心南館地下G9舖,2.6K,"['港式', '茶餐廳/冰室']",Wong Tai Sin,https://www.openrice.com/zh/hongkong/r-%E9%87%91%E8%A8%98%E5%86%B0%E5%AE%A4-%E9%BB%83%E5%A4%A7%E4%BB%99-%E6%B8%AF%E5%BC%8F-r525075,Kowloon,$51-100,金記冰室 (黃大仙中心) Kam Kee Cafe (Wong Tai Sin Shopping Centre)
